flight_number,scheduled_departure_date,total_pax,departure_delay_min
3426,2025-08-09,58,-5.00
5125,2025-08-05,41,-9.00
1097,2025-08-03,134,-4.00
2627,2025-08-06,178,150.00
5493,2025-08-14,50,-3.00
2658,2025-08-08,171,-4.00
5729,2025-08-15,39,106.00
3571,2025-08-11,72,-3.00
3696,2025-08-11,82,-4.00
5099,2025-08-03,37,-5.00
3568,2025-08-07,83,-6.00
118,2025-08-02,197,27.00
5435,2025-08-07,72,-4.00
788,2025-08-09,237,-7.00
5274,2025-08-10,7,656.00
791,2025-08-12,196,11.00
5763,2025-08-04,72,-3.00
4636,2025-08-04,54,-2.00
2347,2025-08-04,116,22.00
953,2025-08-09,283,25.00
1030,2025-08-01,142,45.00
2059,2025-08-07,194,66.00
1347,2025-08-12,174,-6.00
1655,2025-08-15,159,36.00
5999,2025-08-03,89,-7.00
1224,2025-08-03,235,-8.00
2182,2025-08-05,176,-9.00
422,2025-08-15,342,31.00
953,2025-08-11,192,-4.00
2364,2025-08-06,78,-5.00
1848,2025-08-04,130,-4.00
561,2025-08-11,184,1.00
275,2025-08-07,159,-9.00
752,2025-08-05,122,11.00
609,2025-08-03,206,102.00
1677,2025-08-07,190,43.00
1068,2025-08-07,85,428.00
929,2025-08-11,122,174.00
5135,2025-08-11,24,23.00
4188,2025-08-04,48,-2.00
5118,2025-08-06,58,63.00
5292,2025-08-01,73,64.00
2684,2025-08-05,252,-5.00
5253,2025-08-06,64,-1.00
1301,2025-08-13,63,10.00
5977,2025-08-07,90,25.00
4585,2025-08-04,46,-7.00
5398,2025-08-10,7,308.00
5121,2025-08-03,4,-10.00
1620,2025-08-04,236,-7.00
845,2025-08-10,379,90.00
2302,2025-08-07,173,-9.00
1899,2025-08-04,133,-3.00
5577,2025-08-10,86,57.00
3663,2025-08-04,81,12.00
4463,2025-08-05,46,-7.00
378,2025-08-08,246,1.00
1660,2025-08-12,265,31.00
592,2025-08-01,140,5.00
2378,2025-08-15,125,-9.00
1361,2025-08-06,108,149.00
3493,2025-08-09,59,7.00
622,2025-08-10,409,48.00
758,2025-08-07,205,12.00
3536,2025-08-06,73,-9.00
5260,2025-08-08,51,1.00
4789,2025-08-02,77,3.00
1933,2025-08-15,190,-8.00
5874,2025-08-08,39,-8.00
2343,2025-08-09,96,-2.00
1920,2025-08-11,131,-2.00
1851,2025-08-07,128,-2.00
5847,2025-08-06,71,-6.00
1398,2025-08-08,123,11.00
4789,2025-08-06,63,4.00
5499,2025-08-05,59,52.00
1594,2025-08-14,136,11.00
3493,2025-08-10,70,9.00
4468,2025-08-02,69,14.00
4502,2025-08-07,43,-2.00
1304,2025-08-02,220,-2.00
378,2025-08-07,208,-4.00
1941,2025-08-04,123,-2.00
5748,2025-08-12,69,16.00
1941,2025-08-06,125,22.00
1859,2025-08-07,134,16.00
1785,2025-08-04,201,-2.00
1182,2025-08-02,177,5.00
2179,2025-08-15,221,20.00
1659,2025-08-01,245,7.00
2202,2025-08-04,201,60.00
4481,2025-08-08,50,-6.00
1658,2025-08-07,187,-5.00
5843,2025-08-14,74,-4.00
2440,2025-08-15,179,23.00
1851,2025-08-11,145,-2.00
5215,2025-08-07,51,-5.00
1139,2025-08-01,131,10.00
416,2025-08-13,271,17.00
611,2025-08-10,276,6.00
5292,2025-08-05,72,-4.00
1923,2025-08-07,121,16.00
5643,2025-08-07,43,9.00
1989,2025-08-10,175,18.00
2426,2025-08-05,184,98.00
5810,2025-08-03,50,13.00
576,2025-08-07,210,41.00
2430,2025-08-08,198,-4.00
1538,2025-08-01,169,5.00
1741,2025-08-15,128,-9.00
2343,2025-08-08,139,-1.00
4461,2025-08-06,48,9.00
5493,2025-08-15,52,-6.00
1297,2025-08-13,131,-1.00
356,2025-08-13,125,-4.00
5984,2025-08-11,83,-2.00
5444,2025-08-03,53,-7.00
1693,2025-08-13,91,203.00
5269,2025-08-15,54,61.00
5534,2025-08-09,97,65.00
5027,2025-08-01,18,-7.00
2067,2025-08-02,222,-3.00
2649,2025-08-10,167,4.00
2677,2025-08-15,204,5.00
293,2025-08-08,174,-4.00
2497,2025-08-05,88,-1.00
786,2025-08-13,171,-4.00
1044,2025-08-05,271,-3.00
920,2025-08-10,181,134.00
476,2025-08-11,131,-3.00
5274,2025-08-04,50,-1.00
5852,2025-08-07,39,-10.00
1793,2025-08-13,132,-6.00
695,2025-08-10,191,34.00
2343,2025-08-10,135,69.00
609,2025-08-08,185,-5.00
276,2025-08-14,157,-1.00
1491,2025-08-09,141,2.00
3604,2025-08-03,77,14.00
2483,2025-08-01,204,-3.00
1823,2025-08-08,219,-3.00
5250,2025-08-10,83,181.00
1205,2025-08-15,183,-3.00
4636,2025-08-05,54,-8.00
2200,2025-08-07,222,49.00
2683,2025-08-06,208,1.00
769,2025-08-04,216,39.00
2092,2025-08-13,153,-7.00
1920,2025-08-12,121,15.00
1381,2025-08-11,180,-5.00
2387,2025-08-09,247,-5.00
2672,2025-08-05,155,-10.00
3493,2025-08-01,67,14.00
5382,2025-08-06,53,-8.00
5375,2025-08-08,56,-2.00
1657,2025-08-01,172,-4.00
4468,2025-08-14,42,-2.00
4482,2025-08-14,51,35.00
4636,2025-08-13,46,24.00
1304,2025-08-15,194,-4.00
4426,2025-08-10,58,2.00
1495,2025-08-11,41,-2.00
5038,2025-08-01,70,2.00
4406,2025-08-03,71,-8.00
5103,2025-08-08,42,5.00
5314,2025-08-14,43,0.00
3535,2025-08-04,70,-2.00
5125,2025-08-09,68,116.00
5094,2025-08-10,38,-6.00
5037,2025-08-07,15,-5.00
907,2025-08-04,303,13.00
1477,2025-08-11,206,-3.00
767,2025-08-03,245,17.00
2195,2025-08-15,167,1.00
5608,2025-08-05,53,-5.00
247,2025-08-04,164,-1.00
1857,2025-08-09,201,9.00
1168,2025-08-01,224,9.00
2232,2025-08-01,157,-7.00
1006,2025-08-08,171,-7.00
1740,2025-08-06,200,17.00
1920,2025-08-05,178,1.00
1909,2025-08-06,147,-7.00
2487,2025-08-14,176,50.00
4173,2025-08-11,52,10.00
2672,2025-08-04,136,-5.00
2481,2025-08-05,133,-4.00
5474,2025-08-10,40,112.00
5437,2025-08-10,48,10.00
1301,2025-08-08,137,3.00
611,2025-08-14,183,-6.00
4571,2025-08-08,62,-3.00
5819,2025-08-03,66,-7.00
5225,2025-08-15,31,171.00
2011,2025-08-05,183,3.00
4529,2025-08-09,51,-9.00
4479,2025-08-03,50,-1.00
3568,2025-08-04,80,-4.00
5289,2025-08-11,50,15.00
4395,2025-08-01,54,-3.00
5290,2025-08-09,96,1.00
4739,2025-08-12,62,7.00
1205,2025-08-09,205,31.00
1421,2025-08-08,251,-7.00
2629,2025-08-07,210,-1.00
1946,2025-08-04,176,-7.00
4645,2025-08-11,47,-2.00
3542,2025-08-14,74,4.00
2658,2025-08-11,180,-6.00
5505,2025-08-07,41,54.00
2483,2025-08-05,191,-4.00
1778,2025-08-01,129,-2.00
4504,2025-08-07,47,-11.00
1335,2025-08-04,184,4.00
1580,2025-08-11,128,-2.00
219,2025-08-13,357,91.00
5699,2025-08-15,73,12.00
5729,2025-08-02,56,-8.00
5790,2025-08-02,47,-1.00
907,2025-08-09,376,137.00
2652,2025-08-08,138,7.00
2040,2025-08-03,189,19.00
1660,2025-08-11,269,4.00
5608,2025-08-14,58,42.00
3641,2025-08-08,84,-8.00
2652,2025-08-14,173,3.00
2243,2025-08-04,126,40.00
2440,2025-08-07,194,4.00
5505,2025-08-09,50,2.00
602,2025-08-09,105,69.00
5852,2025-08-08,83,-9.00
3641,2025-08-15,78,-2.00
1909,2025-08-07,193,-5.00
1421,2025-08-15,220,-5.00
5517,2025-08-07,69,0.00
1413,2025-08-10,229,-4.00
4461,2025-08-05,49,-9.00
5051,2025-08-07,17,9.00
4426,2025-08-12,48,28.00
3525,2025-08-08,72,8.00
4425,2025-08-03,52,-2.00
1492,2025-08-09,148,254.00
5020,2025-08-04,39,-8.00
5521,2025-08-14,52,6.00
3603,2025-08-10,79,-2.00
5565,2025-08-11,56,-5.00
938,2025-08-04,193,19.00
5821,2025-08-06,46,-7.00
5360,2025-08-10,50,105.00
5320,2025-08-14,49,49.00
4549,2025-08-12,48,35.00
4533,2025-08-06,49,-14.00
4476,2025-08-01,49,-1.00
5435,2025-08-08,83,-6.00
1899,2025-08-02,146,6.00
5395,2025-08-06,61,12.00
3663,2025-08-10,35,1.00
3535,2025-08-11,69,-3.00
1335,2025-08-05,178,-2.00
1398,2025-08-10,168,21.00
1620,2025-08-09,245,5.00
3716,2025-08-14,84,3.00
2100,2025-08-04,177,43.00
533,2025-08-14,153,50.00
4552,2025-08-14,49,-5.00
2172,2025-08-15,147,36.00
482,2025-08-07,175,3.00
534,2025-08-05,195,-3.00
617,2025-08-11,177,0.00
3525,2025-08-01,78,67.00
1414,2025-08-12,162,3.00
4792,2025-08-05,88,2.00
4574,2025-08-05,60,2.00
3468,2025-08-02,114,7.00
1082,2025-08-06,129,-6.00
561,2025-08-05,180,-5.00
4501,2025-08-11,48,-4.00
2628,2025-08-03,131,6.00
5577,2025-08-05,105,179.00
5472,2025-08-09,49,59.00
1584,2025-08-13,269,-4.00
5398,2025-08-13,72,-1.00
3551,2025-08-14,51,-2.00
1775,2025-08-09,259,19.00
5383,2025-08-02,53,73.00
4431,2025-08-06,52,-9.00
5712,2025-08-14,82,2.00
5131,2025-08-08,50,-5.00
466,2025-08-12,95,-1.00
5568,2025-08-12,25,-7.00
5352,2025-08-01,58,6.00
5874,2025-08-07,48,74.00
1710,2025-08-08,195,1.00
1069,2025-08-14,131,52.00
2177,2025-08-14,128,9.00
3707,2025-08-11,72,3.00
1775,2025-08-05,247,-4.00
5272,2025-08-13,44,123.00
468,2025-08-03,235,-2.00
1030,2025-08-10,129,58.00
1413,2025-08-07,220,-1.00
2040,2025-08-13,184,-1.00
275,2025-08-05,150,-4.00
5392,2025-08-09,74,1.00
466,2025-08-04,122,-7.00
2195,2025-08-11,177,5.00
2465,2025-08-03,215,-6.00
2394,2025-08-06,267,118.00
482,2025-08-14,186,-7.00
1269,2025-08-14,135,-4.00
5977,2025-08-04,88,-2.00
970,2025-08-14,246,24.00
580,2025-08-09,231,132.00
2144,2025-08-09,162,-2.00
3663,2025-08-01,75,103.00
4390,2025-08-03,61,-4.00
2254,2025-08-03,249,-10.00
2618,2025-08-02,139,1.00
929,2025-08-13,146,-1.00
4502,2025-08-01,48,-3.00
2337,2025-08-08,211,10.00
5021,2025-08-07,47,1.00
2465,2025-08-09,245,9.00
4558,2025-08-09,54,-7.00
3718,2025-08-12,54,-4.00
4766,2025-08-01,52,-6.00
4712,2025-08-07,73,20.00
4452,2025-08-07,51,-6.00
1068,2025-08-08,175,-3.00
1710,2025-08-04,185,80.00
1347,2025-08-07,195,18.00
2661,2025-08-04,168,104.00
1612,2025-08-09,82,57.00
4778,2025-08-05,53,-7.00
1082,2025-08-04,169,-9.00
118,2025-08-04,170,-1.00
739,2025-08-13,125,-1.00
1677,2025-08-11,184,-3.00
4501,2025-08-01,49,-2.00
5435,2025-08-05,72,-5.00
2329,2025-08-03,141,39.00
5021,2025-08-11,41,0.00
4552,2025-08-13,53,-10.00
2071,2025-08-14,118,-9.00
4549,2025-08-15,46,-6.00
1659,2025-08-13,253,7.00
5358,2025-08-02,58,62.00
2487,2025-08-09,119,53.00
2039,2025-08-10,195,291.00
4636,2025-08-02,59,108.00
4185,2025-08-01,53,-3.00
2684,2025-08-02,250,-9.00
2387,2025-08-08,173,-13.00
4474,2025-08-09,57,-7.00
5833,2025-08-09,64,0.00
1778,2025-08-13,125,-1.00
1270,2025-08-01,222,-7.00
5447,2025-08-12,66,5.00
5526,2025-08-05,53,-6.00
3614,2025-08-14,80,4.00
4468,2025-08-11,37,207.00
5852,2025-08-06,46,-8.00
1291,2025-08-13,42,17.00
3468,2025-08-15,81,0.00
2361,2025-08-07,257,-1.00
1941,2025-08-05,138,-8.00
1996,2025-08-11,257,-3.00
617,2025-08-03,187,-2.00
5585,2025-08-14,58,-4.00
587,2025-08-04,204,-6.00
1834,2025-08-14,103,534.00
4712,2025-08-14,51,56.00
4436,2025-08-10,52,-6.00
2487,2025-08-02,185,14.00
2154,2025-08-15,176,24.00
563,2025-08-07,238,-12.00
1269,2025-08-10,145,60.00
3603,2025-08-05,71,-8.00
1335,2025-08-08,93,161.00
349,2025-08-11,178,-8.00
5353,2025-08-09,64,-6.00
1577,2025-08-09,309,100.00
2100,2025-08-09,212,-5.00
1347,2025-08-03,202,13.00
1531,2025-08-08,152,9.00
5843,2025-08-07,100,-7.00
1801,2025-08-10,268,88.00
5868,2025-08-10,70,55.00
3409,2025-08-06,76,-1.00
1502,2025-08-07,185,54.00
1634,2025-08-12,198,203.00
929,2025-08-04,169,24.00
4585,2025-08-08,54,-5.00
4792,2025-08-14,85,14.00
1620,2025-08-06,249,-6.00
5103,2025-08-15,42,-2.00
5469,2025-08-06,43,-6.00
4748,2025-08-12,40,228.00
4519,2025-08-09,60,16.00
3536,2025-08-08,84,-1.00
1761,2025-08-04,135,38.00
5414,2025-08-10,48,71.00
4452,2025-08-06,56,-3.00
422,2025-08-08,353,57.00
2278,2025-08-08,239,111.00
1967,2025-08-04,190,182.00
944,2025-08-15,399,-3.00
5140,2025-08-06,20,8.00
1010,2025-08-06,91,-10.00
4517,2025-08-04,54,-7.00
2040,2025-08-02,222,34.00
5643,2025-08-06,25,8.00
416,2025-08-02,287,118.00
4792,2025-08-13,79,-1.00
2211,2025-08-02,232,3.00
5045,2025-08-03,58,-2.00
5821,2025-08-02,46,-6.00
2243,2025-08-01,172,34.00
4585,2025-08-12,50,6.00
2184,2025-08-02,172,17.00
445,2025-08-10,124,54.00
5821,2025-08-04,52,-6.00
5601,2025-08-07,48,90.00
5219,2025-08-14,48,2.00
5118,2025-08-07,52,13.00
5988,2025-08-11,82,13.00
416,2025-08-04,258,7.00
5323,2025-08-09,45,47.00
1252,2025-08-13,59,-8.00
5593,2025-08-05,66,-6.00
1617,2025-08-08,190,7.00
920,2025-08-06,190,120.00
4529,2025-08-15,44,-10.00
5280,2025-08-03,76,-5.00
669,2025-08-11,186,-3.00
1693,2025-08-04,124,3.00
5234,2025-08-03,55,-3.00
1677,2025-08-06,194,-5.00
920,2025-08-02,196,9.00
1124,2025-08-02,232,3.00
2099,2025-08-05,230,-4.00
2481,2025-08-03,151,4.00
695,2025-08-08,193,0.00
5375,2025-08-03,60,-4.00
4425,2025-08-13,48,-1.00
5103,2025-08-04,50,-5.00
1314,2025-08-06,223,-5.00
1785,2025-08-01,205,24.00
1347,2025-08-02,219,9.00
4739,2025-08-08,70,-5.00
1168,2025-08-11,216,72.00
247,2025-08-03,158,-2.00
3700,2025-08-15,78,-7.00
1502,2025-08-15,201,0.00
556,2025-08-04,165,-3.00
2465,2025-08-15,201,6.00
1974,2025-08-10,122,20.00
3440,2025-08-07,90,-2.00
786,2025-08-03,200,-5.00
2677,2025-08-09,118,124.00
5251,2025-08-11,60,3.00
1564,2025-08-01,179,17.00
2672,2025-08-10,152,-2.00
4549,2025-08-09,41,-4.00
2417,2025-08-06,191,2.00
1347,2025-08-08,188,-6.00
912,2025-08-03,182,9.00
2201,2025-08-09,280,1.00
4173,2025-08-01,56,58.00
1304,2025-08-01,185,-3.00
1485,2025-08-12,200,0.00
5309,2025-08-12,42,83.00
5988,2025-08-07,85,-3.00
4599,2025-08-07,50,30.00
5414,2025-08-12,43,24.00
5565,2025-08-07,52,-6.00
2481,2025-08-10,149,13.00
5314,2025-08-02,58,69.00
2278,2025-08-10,222,38.00
3525,2025-08-06,93,-3.00
5517,2025-08-02,74,-2.00
5420,2025-08-14,56,81.00
764,2025-08-12,203,-5.00
3708,2025-08-03,80,4.00
4584,2025-08-08,45,18.00
5122,2025-08-02,75,-3.00
4588,2025-08-04,47,-3.00
1859,2025-08-12,133,112.00
2683,2025-08-01,201,-3.00
5380,2025-08-08,72,-4.00
1742,2025-08-14,142,-4.00
611,2025-08-01,292,29.00
288,2025-08-10,130,2.00
1634,2025-08-04,196,3.00
2067,2025-08-11,192,-9.00
1198,2025-08-01,227,4.00
1328,2025-08-04,185,-4.00
5447,2025-08-06,72,8.00
2389,2025-08-09,278,45.00
399,2025-08-09,203,-4.00
5603,2025-08-03,49,-5.00
580,2025-08-03,200,146.00
1361,2025-08-12,141,162.00
1617,2025-08-01,232,-5.00
2099,2025-08-12,199,-2.00
2154,2025-08-07,175,0.00
2652,2025-08-15,98,9.00
5499,2025-08-09,43,-2.00
5353,2025-08-05,46,-9.00
622,2025-08-13,425,1.00
3568,2025-08-03,81,-2.00
1708,2025-08-04,134,9.00
2011,2025-08-15,169,-1.00
4445,2025-08-06,52,-10.00
3700,2025-08-13,75,-3.00
1834,2025-08-02,258,-3.00
5234,2025-08-05,44,-1.00
5225,2025-08-07,52,-3.00
2343,2025-08-11,165,3.00
5637,2025-08-10,36,37.00
2172,2025-08-04,178,-9.00
4791,2025-08-07,47,-9.00
5610,2025-08-13,59,-2.00
5977,2025-08-15,59,141.00
5251,2025-08-13,47,-1.00
5045,2025-08-07,50,-1.00
5568,2025-08-04,62,-6.00
4458,2025-08-10,52,-6.00
2172,2025-08-05,179,-5.00
5568,2025-08-08,47,-2.00
5099,2025-08-15,45,-9.00
4748,2025-08-15,36,118.00
1156,2025-08-14,117,2.00
5362,2025-08-06,36,8.00
3628,2025-08-08,84,-1.00
1785,2025-08-07,201,9.00
587,2025-08-12,151,51.00
2616,2025-08-13,175,2.00
2483,2025-08-14,199,7.00
275,2025-08-01,153,-4.00
1314,2025-08-08,236,-3.00
3601,2025-08-04,80,-6.00
2202,2025-08-11,184,8.00
5763,2025-08-12,82,-6.00
4184,2025-08-05,53,-6.00
1381,2025-08-08,85,-8.00
907,2025-08-15,364,116.00
1620,2025-08-08,251,-6.00
4431,2025-08-10,52,80.00
4809,2025-08-04,82,-5.00
5251,2025-08-04,66,-3.00
3,2025-08-05,180,11.00
1905,2025-08-07,154,9.00
5790,2025-08-13,50,15.00
2424,2025-08-05,197,-3.00
5505,2025-08-03,44,114.00
307,2025-08-06,119,3.00
5568,2025-08-09,54,-6.00
2075,2025-08-03,205,6.00
5470,2025-08-08,72,0.00
1198,2025-08-15,221,-1.00
5021,2025-08-08,40,6.00
5405,2025-08-14,43,-9.00
5557,2025-08-06,66,-6.00
1830,2025-08-15,159,6.00
3638,2025-08-10,111,4.00
4390,2025-08-05,42,16.00
3690,2025-08-08,70,-9.00
5260,2025-08-01,31,495.00
5124,2025-08-10,20,154.00
1301,2025-08-14,81,84.00
503,2025-08-05,250,-2.00
1659,2025-08-08,243,-5.00
4476,2025-08-05,49,-3.00
4599,2025-08-13,49,55.00
4482,2025-08-11,41,0.00
3551,2025-08-13,46,57.00
2104,2025-08-11,173,-7.00
5344,2025-08-09,47,184.00
2657,2025-08-12,227,31.00
2179,2025-08-07,261,4.00
2640,2025-08-01,92,-3.00
2394,2025-08-09,268,34.00
356,2025-08-14,154,-4.00
2616,2025-08-08,184,-3.00
3641,2025-08-03,78,-1.00
2683,2025-08-02,255,-4.00
2666,2025-08-05,241,-5.00
3668,2025-08-02,103,23.00
2640,2025-08-11,152,-5.00
5795,2025-08-08,69,-5.00
276,2025-08-06,167,195.00
5568,2025-08-15,54,-5.00
293,2025-08-12,151,-12.00
4463,2025-08-13,51,13.00
5435,2025-08-12,77,-3.00
2347,2025-08-01,123,11.00
1502,2025-08-09,236,-1.00
2665,2025-08-09,232,15.00
4559,2025-08-04,47,-8.00
1842,2025-08-07,228,62.00
476,2025-08-06,79,-8.00
5358,2025-08-07,47,2.00
5874,2025-08-13,47,4.00
5668,2025-08-05,49,8.00
2497,2025-08-01,109,44.00
2653,2025-08-15,191,-2.00
5234,2025-08-11,46,-6.00
752,2025-08-14,99,-3.00
5131,2025-08-14,48,2.00
1967,2025-08-15,154,7.00
5601,2025-08-12,48,0.00
3535,2025-08-14,85,-7.00
1872,2025-08-07,137,16.00
349,2025-08-01,141,15.00
4766,2025-08-11,49,43.00
3551,2025-08-06,76,6.00
5448,2025-08-15,52,-1.00
5289,2025-08-02,46,-1.00
4186,2025-08-13,37,45.00
777,2025-08-10,160,6.00
1823,2025-08-10,243,-4.00
4479,2025-08-02,53,-8.00
953,2025-08-07,244,18.00
3598,2025-08-07,74,19.00
4559,2025-08-06,37,-6.00
5712,2025-08-15,74,-6.00
3468,2025-08-03,101,-3.00
5118,2025-08-02,68,1.00
2006,2025-08-02,211,2.00
4188,2025-08-09,43,-4.00
3690,2025-08-14,62,0.00
2133,2025-08-03,187,27.00
881,2025-08-08,316,9.00
5565,2025-08-06,54,-10.00
1502,2025-08-03,205,-2.00
1659,2025-08-03,250,13.00
1209,2025-08-02,185,23.00
1620,2025-08-12,221,-2.00
1178,2025-08-08,158,8.00
1658,2025-08-14,189,-5.00
4611,2025-08-14,56,158.00
1209,2025-08-11,204,-1.00
4571,2025-08-04,52,1.00
4431,2025-08-04,36,2.00
4519,2025-08-08,33,11.00
721,2025-08-13,222,-3.00
5100,2025-08-06,27,-8.00
2075,2025-08-05,190,80.00
5505,2025-08-13,42,2.00
764,2025-08-04,138,3.00
1941,2025-08-12,118,213.00
1996,2025-08-12,206,-1.00
5821,2025-08-08,50,-6.00
2329,2025-08-07,124,-5.00
4638,2025-08-10,76,-2.00
5643,2025-08-13,50,0.00
1899,2025-08-15,134,7.00
5251,2025-08-08,100,0.00
1304,2025-08-07,215,2.00
1584,2025-08-10,262,-7.00
4173,2025-08-04,48,-5.00
2137,2025-08-04,174,-1.00
118,2025-08-05,169,-6.00
563,2025-08-15,217,-7.00
1403,2025-08-05,109,3.00
349,2025-08-10,129,22.00
1776,2025-08-09,186,2.00
1616,2025-08-09,137,72.00
3690,2025-08-01,89,13.00
4546,2025-08-11,51,-9.00
5392,2025-08-06,72,6.00
1967,2025-08-05,225,8.00
5852,2025-08-10,82,42.00
5748,2025-08-10,69,258.00
2691,2025-08-07,206,-4.00
1811,2025-08-06,201,-6.00
534,2025-08-03,212,-5.00
1830,2025-08-14,163,32.00
791,2025-08-09,293,-5.00
1594,2025-08-15,135,51.00
2071,2025-08-10,233,-4.00
1612,2025-08-14,75,0.00
2658,2025-08-07,160,72.00
356,2025-08-09,105,162.00
4389,2025-08-06,61,-5.00
1620,2025-08-10,228,-4.00
1793,2025-08-01,139,-7.00
3422,2025-08-08,86,-3.00
5376,2025-08-13,75,-3.00
2414,2025-08-09,99,-1.00
2628,2025-08-02,138,2.00
4188,2025-08-02,63,75.00
5337,2025-08-03,90,-6.00
5984,2025-08-12,79,-2.00
1616,2025-08-12,145,22.00
5726,2025-08-09,62,25.00
5020,2025-08-05,26,-8.00
1620,2025-08-01,233,32.00
2481,2025-08-13,188,10.00
4461,2025-08-08,57,-14.00
2385,2025-08-06,200,-2.00
503,2025-08-11,245,3.00
1301,2025-08-12,103,267.00
714,2025-08-05,141,-5.00
286,2025-08-10,144,-1.00
1538,2025-08-12,151,-4.00
349,2025-08-14,188,104.00
399,2025-08-03,192,-9.00
909,2025-08-05,209,26.00
1834,2025-08-03,192,39.00
3465,2025-08-13,74,2.00
729,2025-08-04,165,-9.00
5108,2025-08-06,47,57.00
3571,2025-08-07,71,-6.00
1909,2025-08-01,215,-2.00
4739,2025-08-11,50,-2.00
4517,2025-08-03,49,-2.00
1421,2025-08-05,225,-7.00
5444,2025-08-13,37,-4.00
4461,2025-08-02,51,7.00
5444,2025-08-12,41,-6.00
5748,2025-08-01,72,-4.00
1538,2025-08-15,149,-13.00
1859,2025-08-13,132,7.00
1848,2025-08-15,142,0.00
1205,2025-08-05,206,-7.00
2430,2025-08-02,147,0.00
5472,2025-08-02,48,-8.00
5376,2025-08-01,74,189.00
4613,2025-08-14,50,0.00
1215,2025-08-13,184,-4.00
1448,2025-08-11,138,-7.00
5852,2025-08-09,69,-1.00
467,2025-08-09,146,2.00
2195,2025-08-07,163,-5.00
5810,2025-08-15,51,-5.00
5763,2025-08-09,86,3.00
1801,2025-08-09,287,22.00
1403,2025-08-13,113,42.00
5712,2025-08-04,78,-4.00
1198,2025-08-06,240,41.00
739,2025-08-01,157,24.00
786,2025-08-04,170,-2.00
1069,2025-08-13,158,46.00
3,2025-08-15,209,4.00
5470,2025-08-11,75,-1.00
2488,2025-08-15,187,-6.00
276,2025-08-02,199,13.00
4645,2025-08-07,48,-4.00
5964,2025-08-15,79,41.00
1403,2025-08-03,119,3.00
2254,2025-08-10,239,-4.00
791,2025-08-04,222,-3.00
5624,2025-08-09,73,-1.00
378,2025-08-05,207,1.00
1811,2025-08-12,178,28.00
2487,2025-08-04,155,33.00
1921,2025-08-09,195,-7.00
3569,2025-08-06,80,-5.00
2370,2025-08-01,206,25.00
1297,2025-08-02,143,-8.00
5125,2025-08-07,50,3.00
1304,2025-08-14,190,-5.00
3663,2025-08-03,67,3.00
2497,2025-08-11,141,1.00
1659,2025-08-02,264,2.00
1693,2025-08-01,96,2.00
660,2025-08-03,248,0.00
1815,2025-08-13,162,-4.00
5376,2025-08-11,70,-1.00
5624,2025-08-06,86,20.00
4390,2025-08-09,50,-5.00
6002,2025-08-03,73,-2.00
4184,2025-08-12,13,192.00
312,2025-08-08,121,0.00
5362,2025-08-11,44,10.00
5603,2025-08-01,65,78.00
2008,2025-08-04,313,152.00
987,2025-08-02,377,5.00
1975,2025-08-10,145,-4.00
374,2025-08-14,154,-2.00
881,2025-08-15,369,2.00
2290,2025-08-05,151,-3.00
3568,2025-08-14,75,4.00
1335,2025-08-15,124,209.00
5534,2025-08-06,81,-3.00
1347,2025-08-14,184,-1.00
4431,2025-08-15,50,0.00
5729,2025-08-01,50,-8.00
4712,2025-08-13,70,-2.00
4712,2025-08-15,55,-4.00
2691,2025-08-12,194,-3.00
2488,2025-08-01,200,34.00
5269,2025-08-08,56,1.00
3635,2025-08-01,68,15.00
468,2025-08-14,202,-4.00
5534,2025-08-03,85,3.00
4574,2025-08-08,44,-2.00
5695,2025-08-11,55,-11.00
1531,2025-08-01,147,29.00
2394,2025-08-10,214,85.00
291,2025-08-06,154,116.00
2232,2025-08-13,162,4.00
5499,2025-08-15,52,3.00
1156,2025-08-11,144,1.00
4482,2025-08-08,59,20.00
2011,2025-08-13,154,-7.00
987,2025-08-15,352,44.00
4585,2025-08-10,52,29.00
4458,2025-08-11,53,-4.00
4391,2025-08-14,54,9.00
4638,2025-08-07,79,12.00
5234,2025-08-12,46,5.00
5444,2025-08-01,60,-4.00
5275,2025-08-11,48,-10.00
4778,2025-08-06,55,-4.00
5946,2025-08-13,73,2.00
4416,2025-08-03,61,-5.00
5021,2025-08-13,40,308.00
5099,2025-08-05,45,11.00
5810,2025-08-01,76,-7.00
1975,2025-08-11,126,-2.00
1658,2025-08-01,217,-4.00
2038,2025-08-15,124,36.00
2389,2025-08-06,218,0.00
695,2025-08-14,159,34.00
5555,2025-08-15,52,72.00
1363,2025-08-06,263,40.00
2184,2025-08-15,90,-5.00
468,2025-08-09,212,0.00
1387,2025-08-02,481,3.00
5376,2025-08-15,60,-8.00
2652,2025-08-12,130,26.00
378,2025-08-01,231,14.00
1980,2025-08-11,155,4.00
5930,2025-08-02,76,0.00
1097,2025-08-08,148,-5.00
2182,2025-08-01,188,22.00
4542,2025-08-07,53,-3.00
695,2025-08-13,202,1.00
310,2025-08-14,142,7.00
1306,2025-08-15,253,-5.00
721,2025-08-07,232,66.00
3699,2025-08-09,95,1.00
2280,2025-08-04,270,-2.00
1100,2025-08-11,169,11.00
2658,2025-08-05,169,0.00
5021,2025-08-02,44,3.00
2201,2025-08-11,170,-3.00
2251,2025-08-08,141,-7.00
4712,2025-08-12,34,49.00
4436,2025-08-15,55,-8.00
4542,2025-08-01,45,19.00
5748,2025-08-02,76,-3.00
