flight_number,scheduled_departure_date,departure_delay_min,total_pax,ssr_count,load_category,ssr_volume
5027,2025-08-01,-7.0,18,10,Low Load,Low SSR
2067,2025-08-02,-3.0,222,27,High Load,Low SSR
2649,2025-08-10,4.0,167,65,Medium Load,High SSR
2677,2025-08-15,5.0,204,104,High Load,High SSR
293,2025-08-08,-4.0,174,42,High Load,High SSR
2497,2025-08-05,-1.0,88,77,Medium Load,High SSR
786,2025-08-13,-4.0,171,74,High Load,High SSR
1044,2025-08-05,-3.0,271,74,High Load,High SSR
920,2025-08-10,134.0,181,60,High Load,High SSR
476,2025-08-11,-3.0,131,59,Medium Load,High SSR
5274,2025-08-04,-1.0,50,39,Low Load,Low SSR
5852,2025-08-07,-10.0,39,31,Low Load,Low SSR
1793,2025-08-13,-6.0,132,38,Medium Load,Low SSR
695,2025-08-10,34.0,191,75,High Load,High SSR
2343,2025-08-10,69.0,135,64,Medium Load,High SSR
609,2025-08-08,-5.0,185,110,High Load,High SSR
276,2025-08-14,-1.0,157,48,Medium Load,High SSR
1491,2025-08-09,2.0,141,102,Medium Load,High SSR
3604,2025-08-03,14.0,77,24,Medium Load,Low SSR
2483,2025-08-01,-3.0,204,155,High Load,High SSR
1823,2025-08-08,-3.0,219,89,High Load,High SSR
5250,2025-08-10,181.0,83,14,Medium Load,Low SSR
1205,2025-08-15,-3.0,183,67,High Load,High SSR
4636,2025-08-05,-8.0,54,43,Low Load,High SSR
2200,2025-08-07,49.0,222,80,High Load,High SSR
2683,2025-08-06,1.0,208,69,High Load,High SSR
769,2025-08-04,39.0,216,61,High Load,High SSR
2092,2025-08-13,-7.0,153,41,Medium Load,High SSR
1920,2025-08-12,15.0,121,74,Medium Load,High SSR
1381,2025-08-11,-5.0,180,21,High Load,Low SSR
2387,2025-08-09,-5.0,247,21,High Load,Low SSR
2672,2025-08-05,-10.0,155,62,Medium Load,High SSR
3493,2025-08-01,14.0,67,22,Low Load,Low SSR
5382,2025-08-06,-8.0,53,21,Low Load,Low SSR
5375,2025-08-08,-2.0,56,19,Low Load,Low SSR
1657,2025-08-01,-4.0,172,25,High Load,Low SSR
4468,2025-08-14,-2.0,42,14,Low Load,Low SSR
4482,2025-08-14,35.0,51,15,Low Load,Low SSR
4636,2025-08-13,24.0,46,43,Low Load,High SSR
1304,2025-08-15,-4.0,194,73,High Load,High SSR
4426,2025-08-10,2.0,58,19,Low Load,Low SSR
1495,2025-08-11,-2.0,41,68,Low Load,High SSR
5038,2025-08-01,2.0,70,41,Low Load,High SSR
4406,2025-08-03,-8.0,71,21,Low Load,Low SSR
5103,2025-08-08,5.0,42,22,Low Load,Low SSR
5314,2025-08-14,0.0,43,30,Low Load,Low SSR
3535,2025-08-04,-2.0,70,27,Low Load,Low SSR
5125,2025-08-09,116.0,68,26,Low Load,Low SSR
5094,2025-08-10,-6.0,38,16,Low Load,Low SSR
5037,2025-08-07,-5.0,15,24,Low Load,Low SSR
907,2025-08-04,13.0,303,135,High Load,High SSR
1477,2025-08-11,-3.0,206,43,High Load,High SSR
767,2025-08-03,17.0,245,44,High Load,High SSR
2195,2025-08-15,1.0,167,85,Medium Load,High SSR
5608,2025-08-05,-5.0,53,17,Low Load,Low SSR
247,2025-08-04,-1.0,164,83,Medium Load,High SSR
1857,2025-08-09,9.0,201,45,High Load,High SSR
1168,2025-08-01,9.0,224,58,High Load,High SSR
2232,2025-08-01,-7.0,157,20,Medium Load,Low SSR
1006,2025-08-08,-7.0,171,85,High Load,High SSR
1740,2025-08-06,17.0,200,44,High Load,High SSR
1920,2025-08-05,1.0,178,74,High Load,High SSR
1909,2025-08-06,-7.0,147,55,Medium Load,High SSR
2487,2025-08-14,50.0,176,55,High Load,High SSR
4173,2025-08-11,10.0,52,10,Low Load,Low SSR
2672,2025-08-04,-5.0,136,62,Medium Load,High SSR
2481,2025-08-05,-4.0,133,66,Medium Load,High SSR
5474,2025-08-10,112.0,40,42,Low Load,High SSR
5437,2025-08-10,10.0,48,38,Low Load,Low SSR
1301,2025-08-08,3.0,137,37,Medium Load,Low SSR
611,2025-08-14,-6.0,183,48,High Load,High SSR
4571,2025-08-08,-3.0,62,18,Low Load,Low SSR
5819,2025-08-03,-7.0,66,25,Low Load,Low SSR
5225,2025-08-15,171.0,31,21,Low Load,Low SSR
2011,2025-08-05,3.0,183,87,High Load,High SSR
4529,2025-08-09,-9.0,51,19,Low Load,Low SSR
4479,2025-08-03,-1.0,50,6,Low Load,Low SSR
3568,2025-08-04,-4.0,80,26,Medium Load,Low SSR
5289,2025-08-11,15.0,50,22,Low Load,Low SSR
4395,2025-08-01,-3.0,54,29,Low Load,Low SSR
5290,2025-08-09,1.0,96,18,Medium Load,Low SSR
4739,2025-08-12,7.0,62,31,Low Load,Low SSR
1205,2025-08-09,31.0,205,67,High Load,High SSR
1421,2025-08-08,-7.0,251,51,High Load,High SSR
2629,2025-08-07,-1.0,210,116,High Load,High SSR
1946,2025-08-04,-7.0,176,57,High Load,High SSR
4645,2025-08-11,-2.0,47,23,Low Load,Low SSR
3542,2025-08-14,4.0,74,20,Medium Load,Low SSR
2658,2025-08-11,-6.0,180,104,High Load,High SSR
5505,2025-08-07,54.0,41,37,Low Load,Low SSR
2483,2025-08-05,-4.0,191,155,High Load,High SSR
1778,2025-08-01,-2.0,129,94,Medium Load,High SSR
4504,2025-08-07,-11.0,47,19,Low Load,Low SSR
1335,2025-08-04,4.0,184,104,High Load,High SSR
1580,2025-08-11,-2.0,128,63,Medium Load,High SSR
219,2025-08-13,91.0,357,93,High Load,High SSR
5699,2025-08-15,12.0,73,31,Medium Load,Low SSR
5729,2025-08-02,-8.0,56,76,Low Load,High SSR
5790,2025-08-02,-1.0,47,30,Low Load,Low SSR
907,2025-08-09,137.0,376,135,High Load,High SSR
2652,2025-08-08,7.0,138,109,Medium Load,High SSR
2040,2025-08-03,19.0,189,53,High Load,High SSR
1660,2025-08-11,4.0,269,74,High Load,High SSR
5608,2025-08-14,42.0,58,17,Low Load,Low SSR
3641,2025-08-08,-8.0,84,19,Medium Load,Low SSR
2652,2025-08-14,3.0,173,109,High Load,High SSR
2243,2025-08-04,40.0,126,69,Medium Load,High SSR
2440,2025-08-07,4.0,194,92,High Load,High SSR
5505,2025-08-09,2.0,50,37,Low Load,Low SSR
602,2025-08-09,69.0,105,58,Medium Load,High SSR
5852,2025-08-08,-9.0,83,31,Medium Load,Low SSR
3641,2025-08-15,-2.0,78,19,Medium Load,Low SSR
1909,2025-08-07,-5.0,193,55,High Load,High SSR
1421,2025-08-15,-5.0,220,51,High Load,High SSR
5517,2025-08-07,0.0,69,18,Low Load,Low SSR
1413,2025-08-10,-4.0,229,52,High Load,High SSR
4461,2025-08-05,-9.0,49,19,Low Load,Low SSR
5051,2025-08-07,9.0,17,6,Low Load,Low SSR
4426,2025-08-12,28.0,48,19,Low Load,Low SSR
3525,2025-08-08,8.0,72,23,Low Load,Low SSR
4425,2025-08-03,-2.0,52,18,Low Load,Low SSR
1492,2025-08-09,254.0,148,100,Medium Load,High SSR
5020,2025-08-04,-8.0,39,26,Low Load,Low SSR
5521,2025-08-14,6.0,52,26,Low Load,Low SSR
3603,2025-08-10,-2.0,79,29,Medium Load,Low SSR
5565,2025-08-11,-5.0,56,19,Low Load,Low SSR
938,2025-08-04,19.0,193,61,High Load,High SSR
5821,2025-08-06,-7.0,46,16,Low Load,Low SSR
5360,2025-08-10,105.0,50,40,Low Load,Low SSR
5320,2025-08-14,49.0,49,14,Low Load,Low SSR
4549,2025-08-12,35.0,48,26,Low Load,Low SSR
4533,2025-08-06,-14.0,49,6,Low Load,Low SSR
4476,2025-08-01,-1.0,49,20,Low Load,Low SSR
5435,2025-08-08,-6.0,83,20,Medium Load,Low SSR
1899,2025-08-02,6.0,146,48,Medium Load,High SSR
5395,2025-08-06,12.0,61,36,Low Load,Low SSR
3663,2025-08-10,1.0,35,23,Low Load,Low SSR
3535,2025-08-11,-3.0,69,27,Low Load,Low SSR
1335,2025-08-05,-2.0,178,104,High Load,High SSR
1398,2025-08-10,21.0,168,96,Medium Load,High SSR
1620,2025-08-09,5.0,245,82,High Load,High SSR
3716,2025-08-14,3.0,84,28,Medium Load,Low SSR
2100,2025-08-04,43.0,177,85,High Load,High SSR
533,2025-08-14,50.0,153,74,Medium Load,High SSR
4552,2025-08-14,-5.0,49,19,Low Load,Low SSR
2172,2025-08-15,36.0,147,99,Medium Load,High SSR
482,2025-08-07,3.0,175,28,High Load,Low SSR
534,2025-08-05,-3.0,195,108,High Load,High SSR
617,2025-08-11,0.0,177,94,High Load,High SSR
3525,2025-08-01,67.0,78,23,Medium Load,Low SSR
1414,2025-08-12,3.0,162,70,Medium Load,High SSR
4792,2025-08-05,2.0,88,41,Medium Load,High SSR
4574,2025-08-05,2.0,60,24,Low Load,Low SSR
3468,2025-08-02,7.0,114,23,Medium Load,Low SSR
1082,2025-08-06,-6.0,129,108,Medium Load,High SSR
561,2025-08-05,-5.0,180,75,High Load,High SSR
4501,2025-08-11,-4.0,48,29,Low Load,Low SSR
2628,2025-08-03,6.0,131,49,Medium Load,High SSR
5577,2025-08-05,179.0,105,20,Medium Load,Low SSR
5472,2025-08-09,59.0,49,6,Low Load,Low SSR
1584,2025-08-13,-4.0,269,55,High Load,High SSR
5398,2025-08-13,-1.0,72,16,Low Load,Low SSR
3551,2025-08-14,-2.0,51,19,Low Load,Low SSR
1775,2025-08-09,19.0,259,69,High Load,High SSR
5383,2025-08-02,73.0,53,13,Low Load,Low SSR
4431,2025-08-06,-9.0,52,17,Low Load,Low SSR
5712,2025-08-14,2.0,82,24,Medium Load,Low SSR
5131,2025-08-08,-5.0,50,23,Low Load,Low SSR
466,2025-08-12,-1.0,95,22,Medium Load,Low SSR
5568,2025-08-12,-7.0,25,28,Low Load,Low SSR
5352,2025-08-01,6.0,58,26,Low Load,Low SSR
5874,2025-08-07,74.0,48,29,Low Load,Low SSR
1710,2025-08-08,1.0,195,118,High Load,High SSR
1069,2025-08-14,52.0,131,67,Medium Load,High SSR
2177,2025-08-14,9.0,128,30,Medium Load,Low SSR
3707,2025-08-11,3.0,72,17,Low Load,Low SSR
1775,2025-08-05,-4.0,247,69,High Load,High SSR
5272,2025-08-13,123.0,44,14,Low Load,Low SSR
468,2025-08-03,-2.0,235,114,High Load,High SSR
1030,2025-08-10,58.0,129,43,Medium Load,High SSR
1413,2025-08-07,-1.0,220,52,High Load,High SSR
2040,2025-08-13,-1.0,184,53,High Load,High SSR
275,2025-08-05,-4.0,150,47,Medium Load,High SSR
5392,2025-08-09,1.0,74,24,Medium Load,Low SSR
466,2025-08-04,-7.0,122,22,Medium Load,Low SSR
2195,2025-08-11,5.0,177,85,High Load,High SSR
2465,2025-08-03,-6.0,215,115,High Load,High SSR
2394,2025-08-06,118.0,267,56,High Load,High SSR
482,2025-08-14,-7.0,186,28,High Load,Low SSR
1269,2025-08-14,-4.0,135,118,Medium Load,High SSR
5977,2025-08-04,-2.0,88,34,Medium Load,Low SSR
970,2025-08-14,24.0,246,59,High Load,High SSR
580,2025-08-09,132.0,231,137,High Load,High SSR
2144,2025-08-09,-2.0,162,53,Medium Load,High SSR
3663,2025-08-01,103.0,75,23,Medium Load,Low SSR
4390,2025-08-03,-4.0,61,16,Low Load,Low SSR
2254,2025-08-03,-10.0,249,71,High Load,High SSR
2618,2025-08-02,1.0,139,58,Medium Load,High SSR
929,2025-08-13,-1.0,146,66,Medium Load,High SSR
4502,2025-08-01,-3.0,48,12,Low Load,Low SSR
2337,2025-08-08,10.0,211,98,High Load,High SSR
5021,2025-08-07,1.0,47,28,Low Load,Low SSR
2465,2025-08-09,9.0,245,115,High Load,High SSR
4558,2025-08-09,-7.0,54,15,Low Load,Low SSR
3718,2025-08-12,-4.0,54,21,Low Load,Low SSR
4766,2025-08-01,-6.0,52,19,Low Load,Low SSR
4712,2025-08-07,20.0,73,22,Medium Load,Low SSR
4452,2025-08-07,-6.0,51,22,Low Load,Low SSR
1068,2025-08-08,-3.0,175,59,High Load,High SSR
1710,2025-08-04,80.0,185,118,High Load,High SSR
1347,2025-08-07,18.0,195,77,High Load,High SSR
2661,2025-08-04,104.0,168,31,Medium Load,Low SSR
1612,2025-08-09,57.0,82,92,Medium Load,High SSR
4778,2025-08-05,-7.0,53,16,Low Load,Low SSR
1082,2025-08-04,-9.0,169,108,High Load,High SSR
118,2025-08-04,-1.0,170,69,High Load,High SSR
739,2025-08-13,-1.0,125,59,Medium Load,High SSR
1677,2025-08-11,-3.0,184,33,High Load,Low SSR
4501,2025-08-01,-2.0,49,29,Low Load,Low SSR
5435,2025-08-05,-5.0,72,20,Low Load,Low SSR
2329,2025-08-03,39.0,141,94,Medium Load,High SSR
5021,2025-08-11,0.0,41,28,Low Load,Low SSR
4552,2025-08-13,-10.0,53,19,Low Load,Low SSR
2071,2025-08-14,-9.0,118,27,Medium Load,Low SSR
4549,2025-08-15,-6.0,46,26,Low Load,Low SSR
1659,2025-08-13,7.0,253,49,High Load,High SSR
5358,2025-08-02,62.0,58,32,Low Load,Low SSR
2487,2025-08-09,53.0,119,55,Medium Load,High SSR
2039,2025-08-10,291.0,195,94,High Load,High SSR
4636,2025-08-02,108.0,59,43,Low Load,High SSR
4185,2025-08-01,-3.0,53,19,Low Load,Low SSR
2684,2025-08-02,-9.0,250,70,High Load,High SSR
2387,2025-08-08,-13.0,173,21,High Load,Low SSR
4474,2025-08-09,-7.0,57,14,Low Load,Low SSR
5833,2025-08-09,0.0,64,27,Low Load,Low SSR
1778,2025-08-13,-1.0,125,94,Medium Load,High SSR
1270,2025-08-01,-7.0,222,61,High Load,High SSR
5447,2025-08-12,5.0,66,19,Low Load,Low SSR
5526,2025-08-05,-6.0,53,20,Low Load,Low SSR
3614,2025-08-14,4.0,80,23,Medium Load,Low SSR
4468,2025-08-11,207.0,37,14,Low Load,Low SSR
5852,2025-08-06,-8.0,46,31,Low Load,Low SSR
1291,2025-08-13,17.0,42,41,Low Load,High SSR
3468,2025-08-15,0.0,81,23,Medium Load,Low SSR
2361,2025-08-07,-1.0,257,46,High Load,High SSR
1941,2025-08-05,-8.0,138,45,Medium Load,High SSR
1996,2025-08-11,-3.0,257,113,High Load,High SSR
617,2025-08-03,-2.0,187,94,High Load,High SSR
5585,2025-08-14,-4.0,58,13,Low Load,Low SSR
587,2025-08-04,-6.0,204,68,High Load,High SSR
1834,2025-08-14,534.0,103,97,Medium Load,High SSR
4712,2025-08-14,56.0,51,22,Low Load,Low SSR
4436,2025-08-10,-6.0,52,23,Low Load,Low SSR
2487,2025-08-02,14.0,185,55,High Load,High SSR
2154,2025-08-15,24.0,176,88,High Load,High SSR
563,2025-08-07,-12.0,238,49,High Load,High SSR
1269,2025-08-10,60.0,145,118,Medium Load,High SSR
3603,2025-08-05,-8.0,71,29,Low Load,Low SSR
1335,2025-08-08,161.0,93,104,Medium Load,High SSR
349,2025-08-11,-8.0,178,41,High Load,High SSR
5353,2025-08-09,-6.0,64,17,Low Load,Low SSR
1577,2025-08-09,100.0,309,88,High Load,High SSR
2100,2025-08-09,-5.0,212,85,High Load,High SSR
1347,2025-08-03,13.0,202,77,High Load,High SSR
1531,2025-08-08,9.0,152,102,Medium Load,High SSR
5843,2025-08-07,-7.0,100,19,Medium Load,Low SSR
1801,2025-08-10,88.0,268,98,High Load,High SSR
5868,2025-08-10,55.0,70,30,Low Load,Low SSR
3409,2025-08-06,-1.0,76,29,Medium Load,Low SSR
1502,2025-08-07,54.0,185,77,High Load,High SSR
1634,2025-08-12,203.0,198,101,High Load,High SSR
929,2025-08-04,24.0,169,66,High Load,High SSR
4585,2025-08-08,-5.0,54,26,Low Load,Low SSR
4792,2025-08-14,14.0,85,41,Medium Load,High SSR
1620,2025-08-06,-6.0,249,82,High Load,High SSR
5103,2025-08-15,-2.0,42,22,Low Load,Low SSR
5469,2025-08-06,-6.0,43,15,Low Load,Low SSR
4748,2025-08-12,228.0,40,20,Low Load,Low SSR
4519,2025-08-09,16.0,60,18,Low Load,Low SSR
3536,2025-08-08,-1.0,84,15,Medium Load,Low SSR
1761,2025-08-04,38.0,135,107,Medium Load,High SSR
5414,2025-08-10,71.0,48,17,Low Load,Low SSR
4452,2025-08-06,-3.0,56,22,Low Load,Low SSR
422,2025-08-08,57.0,353,143,High Load,High SSR
2278,2025-08-08,111.0,239,164,High Load,High SSR
1967,2025-08-04,182.0,190,84,High Load,High SSR
944,2025-08-15,-3.0,399,131,High Load,High SSR
5140,2025-08-06,8.0,20,20,Low Load,Low SSR
1010,2025-08-06,-10.0,91,24,Medium Load,Low SSR
4517,2025-08-04,-7.0,54,14,Low Load,Low SSR
2040,2025-08-02,34.0,222,53,High Load,High SSR
5643,2025-08-06,8.0,25,25,Low Load,Low SSR
416,2025-08-02,118.0,287,49,High Load,High SSR
4792,2025-08-13,-1.0,79,41,Medium Load,High SSR
2211,2025-08-02,3.0,232,87,High Load,High SSR
5045,2025-08-03,-2.0,58,25,Low Load,Low SSR
5821,2025-08-02,-6.0,46,16,Low Load,Low SSR
2243,2025-08-01,34.0,172,69,High Load,High SSR
4585,2025-08-12,6.0,50,26,Low Load,Low SSR
2184,2025-08-02,17.0,172,14,High Load,Low SSR
445,2025-08-10,54.0,124,86,Medium Load,High SSR
5821,2025-08-04,-6.0,52,16,Low Load,Low SSR
5601,2025-08-07,90.0,48,71,Low Load,High SSR
5219,2025-08-14,2.0,48,25,Low Load,Low SSR
5118,2025-08-07,13.0,52,43,Low Load,High SSR
5988,2025-08-11,13.0,82,14,Medium Load,Low SSR
416,2025-08-04,7.0,258,49,High Load,High SSR
5323,2025-08-09,47.0,45,24,Low Load,Low SSR
1252,2025-08-13,-8.0,59,13,Low Load,Low SSR
5593,2025-08-05,-6.0,66,35,Low Load,Low SSR
1617,2025-08-08,7.0,190,60,High Load,High SSR
920,2025-08-06,120.0,190,60,High Load,High SSR
4529,2025-08-15,-10.0,44,19,Low Load,Low SSR
5280,2025-08-03,-5.0,76,17,Medium Load,Low SSR
669,2025-08-11,-3.0,186,21,High Load,Low SSR
1693,2025-08-04,3.0,124,36,Medium Load,Low SSR
5234,2025-08-03,-3.0,55,18,Low Load,Low SSR
1677,2025-08-06,-5.0,194,33,High Load,Low SSR
920,2025-08-02,9.0,196,60,High Load,High SSR
1124,2025-08-02,3.0,232,103,High Load,High SSR
2099,2025-08-05,-4.0,230,141,High Load,High SSR
2481,2025-08-03,4.0,151,66,Medium Load,High SSR
695,2025-08-08,0.0,193,75,High Load,High SSR
5375,2025-08-03,-4.0,60,19,Low Load,Low SSR
4425,2025-08-13,-1.0,48,18,Low Load,Low SSR
5103,2025-08-04,-5.0,50,22,Low Load,Low SSR
1314,2025-08-06,-5.0,223,94,High Load,High SSR
1785,2025-08-01,24.0,205,56,High Load,High SSR
1347,2025-08-02,9.0,219,77,High Load,High SSR
4739,2025-08-08,-5.0,70,31,Low Load,Low SSR
1168,2025-08-11,72.0,216,58,High Load,High SSR
247,2025-08-03,-2.0,158,83,Medium Load,High SSR
3700,2025-08-15,-7.0,78,10,Medium Load,Low SSR
1502,2025-08-15,0.0,201,77,High Load,High SSR
556,2025-08-04,-3.0,165,28,Medium Load,Low SSR
2465,2025-08-15,6.0,201,115,High Load,High SSR
1974,2025-08-10,20.0,122,93,Medium Load,High SSR
3440,2025-08-07,-2.0,90,24,Medium Load,Low SSR
786,2025-08-03,-5.0,200,74,High Load,High SSR
2677,2025-08-09,124.0,118,104,Medium Load,High SSR
5251,2025-08-11,3.0,60,46,Low Load,High SSR
1564,2025-08-01,17.0,179,58,High Load,High SSR
2672,2025-08-10,-2.0,152,62,Medium Load,High SSR
4549,2025-08-09,-4.0,41,26,Low Load,Low SSR
2417,2025-08-06,2.0,191,110,High Load,High SSR
1347,2025-08-08,-6.0,188,77,High Load,High SSR
912,2025-08-03,9.0,182,76,High Load,High SSR
2201,2025-08-09,1.0,280,101,High Load,High SSR
4173,2025-08-01,58.0,56,10,Low Load,Low SSR
1304,2025-08-01,-3.0,185,73,High Load,High SSR
1485,2025-08-12,0.0,200,78,High Load,High SSR
5309,2025-08-12,83.0,42,23,Low Load,Low SSR
5988,2025-08-07,-3.0,85,14,Medium Load,Low SSR
4599,2025-08-07,30.0,50,16,Low Load,Low SSR
5414,2025-08-12,24.0,43,17,Low Load,Low SSR
5565,2025-08-07,-6.0,52,19,Low Load,Low SSR
2481,2025-08-10,13.0,149,66,Medium Load,High SSR
5314,2025-08-02,69.0,58,30,Low Load,Low SSR
2278,2025-08-10,38.0,222,164,High Load,High SSR
3525,2025-08-06,-3.0,93,23,Medium Load,Low SSR
5517,2025-08-02,-2.0,74,18,Medium Load,Low SSR
5420,2025-08-14,81.0,56,23,Low Load,Low SSR
764,2025-08-12,-5.0,203,34,High Load,Low SSR
3708,2025-08-03,4.0,80,4,Medium Load,Low SSR
4584,2025-08-08,18.0,45,22,Low Load,Low SSR
5122,2025-08-02,-3.0,75,17,Medium Load,Low SSR
4588,2025-08-04,-3.0,47,21,Low Load,Low SSR
1859,2025-08-12,112.0,133,50,Medium Load,High SSR
2683,2025-08-01,-3.0,201,69,High Load,High SSR
5380,2025-08-08,-4.0,72,21,Low Load,Low SSR
1742,2025-08-14,-4.0,142,47,Medium Load,High SSR
611,2025-08-01,29.0,292,48,High Load,High SSR
288,2025-08-10,2.0,130,64,Medium Load,High SSR
1634,2025-08-04,3.0,196,101,High Load,High SSR
2067,2025-08-11,-9.0,192,27,High Load,Low SSR
1198,2025-08-01,4.0,227,36,High Load,Low SSR
1328,2025-08-04,-4.0,185,67,High Load,High SSR
5447,2025-08-06,8.0,72,19,Low Load,Low SSR
2389,2025-08-09,45.0,278,138,High Load,High SSR
399,2025-08-09,-4.0,203,53,High Load,High SSR
5603,2025-08-03,-5.0,49,67,Low Load,High SSR
580,2025-08-03,146.0,200,137,High Load,High SSR
1361,2025-08-12,162.0,141,48,Medium Load,High SSR
1617,2025-08-01,-5.0,232,60,High Load,High SSR
2099,2025-08-12,-2.0,199,141,High Load,High SSR
2154,2025-08-07,0.0,175,88,High Load,High SSR
2652,2025-08-15,9.0,98,109,Medium Load,High SSR
5499,2025-08-09,-2.0,43,30,Low Load,Low SSR
5353,2025-08-05,-9.0,46,17,Low Load,Low SSR
622,2025-08-13,1.0,425,113,High Load,High SSR
3568,2025-08-03,-2.0,81,26,Medium Load,Low SSR
1708,2025-08-04,9.0,134,48,Medium Load,High SSR
2011,2025-08-15,-1.0,169,87,High Load,High SSR
4445,2025-08-06,-10.0,52,17,Low Load,Low SSR
3700,2025-08-13,-3.0,75,10,Medium Load,Low SSR
1834,2025-08-02,-3.0,258,97,High Load,High SSR
5234,2025-08-05,-1.0,44,18,Low Load,Low SSR
5225,2025-08-07,-3.0,52,21,Low Load,Low SSR
2343,2025-08-11,3.0,165,64,Medium Load,High SSR
5637,2025-08-10,37.0,36,24,Low Load,Low SSR
2172,2025-08-04,-9.0,178,99,High Load,High SSR
4791,2025-08-07,-9.0,47,23,Low Load,Low SSR
5610,2025-08-13,-2.0,59,19,Low Load,Low SSR
5977,2025-08-15,141.0,59,34,Low Load,Low SSR
5251,2025-08-13,-1.0,47,23,Low Load,Low SSR
5045,2025-08-07,-1.0,50,25,Low Load,Low SSR
5568,2025-08-04,-6.0,62,28,Low Load,Low SSR
4458,2025-08-10,-6.0,52,37,Low Load,Low SSR
2172,2025-08-05,-5.0,179,99,High Load,High SSR
5568,2025-08-08,-2.0,47,28,Low Load,Low SSR
5099,2025-08-15,-9.0,45,22,Low Load,Low SSR
4748,2025-08-15,118.0,36,20,Low Load,Low SSR
1156,2025-08-14,2.0,117,80,Medium Load,High SSR
5362,2025-08-06,8.0,36,32,Low Load,Low SSR
3628,2025-08-08,-1.0,84,20,Medium Load,Low SSR
1785,2025-08-07,9.0,201,56,High Load,High SSR
587,2025-08-12,51.0,151,68,Medium Load,High SSR
2616,2025-08-13,2.0,175,98,High Load,High SSR
2483,2025-08-14,7.0,199,155,High Load,High SSR
275,2025-08-01,-4.0,153,47,Medium Load,High SSR
1314,2025-08-08,-3.0,236,94,High Load,High SSR
3601,2025-08-04,-6.0,80,23,Medium Load,Low SSR
2202,2025-08-11,8.0,184,55,High Load,High SSR
5763,2025-08-12,-6.0,82,49,Medium Load,High SSR
4184,2025-08-05,-6.0,53,18,Low Load,Low SSR
1381,2025-08-08,-8.0,85,21,Medium Load,Low SSR
907,2025-08-15,116.0,364,135,High Load,High SSR
1620,2025-08-08,-6.0,251,82,High Load,High SSR
4431,2025-08-10,80.0,52,17,Low Load,Low SSR
4809,2025-08-04,-5.0,82,31,Medium Load,Low SSR
5251,2025-08-04,-3.0,66,23,Low Load,Low SSR
3,2025-08-05,11.0,180,57,High Load,High SSR
1905,2025-08-07,9.0,154,78,Medium Load,High SSR
5790,2025-08-13,15.0,50,30,Low Load,Low SSR
2424,2025-08-05,-3.0,197,42,High Load,High SSR
5505,2025-08-03,114.0,44,37,Low Load,Low SSR
307,2025-08-06,3.0,119,68,Medium Load,High SSR
5568,2025-08-09,-6.0,54,28,Low Load,Low SSR
2075,2025-08-03,6.0,205,94,High Load,High SSR
5470,2025-08-08,0.0,72,23,Low Load,Low SSR
1198,2025-08-15,-1.0,221,36,High Load,Low SSR
5021,2025-08-08,6.0,40,28,Low Load,Low SSR
5405,2025-08-14,-9.0,43,16,Low Load,Low SSR
5557,2025-08-06,-6.0,66,18,Low Load,Low SSR
1830,2025-08-15,6.0,159,70,Medium Load,High SSR
3638,2025-08-10,4.0,111,15,Medium Load,Low SSR
4390,2025-08-05,16.0,42,16,Low Load,Low SSR
3690,2025-08-08,-9.0,70,19,Low Load,Low SSR
5260,2025-08-01,495.0,31,12,Low Load,Low SSR
5124,2025-08-10,154.0,20,19,Low Load,Low SSR
1301,2025-08-14,84.0,81,37,Medium Load,Low SSR
503,2025-08-05,-2.0,250,108,High Load,High SSR
1659,2025-08-08,-5.0,243,49,High Load,High SSR
4476,2025-08-05,-3.0,49,20,Low Load,Low SSR
4599,2025-08-13,55.0,49,16,Low Load,Low SSR
4482,2025-08-11,0.0,41,60,Low Load,High SSR
3551,2025-08-13,57.0,46,19,Low Load,Low SSR
2104,2025-08-11,-7.0,173,21,High Load,Low SSR
5344,2025-08-09,184.0,47,42,Low Load,High SSR
2657,2025-08-12,31.0,227,88,High Load,High SSR
2179,2025-08-07,4.0,261,104,High Load,High SSR
2640,2025-08-01,-3.0,92,34,Medium Load,Low SSR
2394,2025-08-09,34.0,268,56,High Load,High SSR
356,2025-08-14,-4.0,154,108,Medium Load,High SSR
2616,2025-08-08,-3.0,184,98,High Load,High SSR
3641,2025-08-03,-1.0,78,19,Medium Load,Low SSR
2683,2025-08-02,-4.0,255,69,High Load,High SSR
2666,2025-08-05,-5.0,241,40,High Load,Low SSR
3668,2025-08-02,23.0,103,10,Medium Load,Low SSR
2640,2025-08-11,-5.0,152,34,Medium Load,Low SSR
5795,2025-08-08,-5.0,69,27,Low Load,Low SSR
276,2025-08-06,195.0,167,48,Medium Load,High SSR
5568,2025-08-15,-5.0,54,28,Low Load,Low SSR
293,2025-08-12,-12.0,151,42,Medium Load,High SSR
4463,2025-08-13,13.0,51,23,Low Load,Low SSR
5435,2025-08-12,-3.0,77,20,Medium Load,Low SSR
2347,2025-08-01,11.0,123,70,Medium Load,High SSR
1502,2025-08-09,-1.0,236,77,High Load,High SSR
2665,2025-08-09,15.0,232,96,High Load,High SSR
4559,2025-08-04,-8.0,47,17,Low Load,Low SSR
1842,2025-08-07,62.0,228,61,High Load,High SSR
476,2025-08-06,-8.0,79,59,Medium Load,High SSR
5358,2025-08-07,2.0,47,32,Low Load,Low SSR
5874,2025-08-13,4.0,47,29,Low Load,Low SSR
